publish_date,headline_text,cluster_num
20030219,no side effects for new whooping cough vaccine,7
20030219,nsw govt under fire for holding back vegetation,20
20030219,nsw opp defends claims of running race campaign,20
20030219,nsw opp pledges 50m drought relief,20
20030219,nt govt boosts nurse number with overseas intake,20
20030219,nth koreans seek asylum at japanese embassy,28
20030219,nursing student intake down,7
20030219,oh brother your times up says ganguly senior,7
20030219,omodei to stay in politics,7
20030219,onesteel to invest 80m in whyalla steelworks,7
20030219,opposition urged to help protect recherche bay,7
20030219,orientation begins for uni students,7
20030219,osullivan in world cross country doubt,7
20030219,pagan says rule changes not necessary,7
20030219,pair to face court over ayr murder,1
20030219,patterson defends decision not to attend health,11
20030219,patterson no show displays govts arrogance crean,11
20030219,patterson snubs health meeting to avoid lions den,11
20030219,peace agreement may bring respite for venezuela,16
20030219,pienaar shines as ajax frustrate arsenal,7
20030219,plan for second skatepark,27
20030219,plan to encourage farmers into plantation timber,27
20030219,png nurses strike after colleague raped on way to,7
20030219,police cracking down on driver safety,3
20030219,police defend aboriginal tent embassy raid,3
20030219,policewomen accusations feature at federal crime,7
20030219,probe launched into plane crash,2
20030219,program to monitor forest harvested areas,7
20030219,public urged to check gas cylinders,0
20030219,public warned about phone scam,6
20030219,qantas international crews to strike over pay,7
20030219,qantas war plan to cut 2500 jobs outrages unions,28
20030219,qr not planning northern route sackings,27
20030219,questions public anger grows after korean subway,0
20030219,rabbit control program on trial,7
20030219,radioactive spill at wmcs olympic dam mine,7
20030219,rain eases wheatbelt water woes,13
20030219,reading go third in first division,7
20030219,record amount for gladstone ventures,7
20030219,refshauge wins defamation court case,7
20030219,regulator to inspect gm canola trials,7
20030219,report highlights container terminal potential,7
20030219,resource stocks boost all ords,7
20030219,restraint order issued against anti discrimination,7
20030219,rfs rejects claim that act authorities spurned,7
20030219,ricciuto undergoes surgery on injured ankle,7
20030219,rice mill closures to put 300 out of work,7
20030219,rsl angry about reports of troop harassment,7
20030219,safety review begins after bushwalker death,7
20030219,sa premier calls for action over river murray,7
20030219,saudi arabians to stand trial over al qaeda,7
20030219,saudi arabia tells arabs war on iraq inevitable,25
20030219,search continues for victims in south korean subway,7
20030219,second resolution on iraq expected shortly un,25
20030219,shire offers assurances over finances,7
20030219,six palestinians killed in gaza incursion,8
20030219,slow recovery predicted for aust economy,7
20030219,smoking bans hit tabcorp bottom line,7
20030219,snowtown murder trial delayed,7
20030219,states may be forced to label ethanol fuel,7
20030219,stations to get fixed home phone service,7
20030219,sterrey to steer sharks,7
20030219,still no sign of missing fisherman,7
20030219,stop changing the rules fans tell afl,7
20030219,sugar industry plan to be revealed,27
20030219,surge in new car sales in aust abs,7
20030219,swiss challengers looking to future,7
20030219,taipans placing future in publics hands,22
20030219,talk of asian nuclear arms race unhelpful downer,7
20030219,tasmanian scientists to search for east coast,7
20030219,taylor denies calling on waugh to quit,7
20030219,teen to face court over drug charges,1
20030219,testing shows dioxin above drinking water standards,21
20030219,thousands remember 61st anniversary of darwin,7
20030219,unions to ask members to support public protests,21
20030219,uni to continue tree disease study,7
20030219,us british aircraft attack sth iraq target,25
20030219,vff to buy stock feed pellets for fire affected,7
20030219,vic local councils welcome single polling day,27
20030219,victorian scientists honoured at awards,15
20030219,vowles to retire at end of season,7
20030219,wales coach accuses players of belittling red,7
20030219,warne hearing set for friday,6
20030219,webb favourite for ladies masters,7
20030219,widnes abandon paul bid,7
20030219,wildlife sanctuaries plan revealed,27
20030219,williams says tight bowling key to warriors win,7
20030219,wine chief bounces back from sacking,7
20030219,worksafe probes potato harvester injuries,17
20030220,15 dead in rebel bombing raid philippines army,7
20030220,abattoir up for sale again,7
20030220,academic upbeat about higher education review,7
20030220,administrator to be appointed to land council,27
20030220,aec to declare if nt to lose parliamentary seat,7
20030220,amcor records solid profit result,7
20030220,americas cup fourth race cancelled,7
20030220,arsenal poised to swoop on beckham report,7
20030220,aust drinking less alcohol smoking less study,7
20030220,austeel eis release due soon nsw govt,20
20030220,australian flag celebrates 100th birthday,7
20030220,awu to hold meeting over port kembla jobs,0
20030220,baby badly burnt in brisbane house fire,7
20030220,bad weather might have caused iranian plane crash,2
20030220,beckham leads as man u cut down depleted juve,4
20030220,beware the standard alcoholic drink,7
20030220,bilby dream to become reality,7
20030220,brisbane sparkies head for 10 day strike,7
20030220,britain tells nationals to leave iraq kuwait,25
20030220,british high court overturns new blair asylum,7
20030220,british magician to entomb himself in cheese,7
20030220,bungle leaves doctor waiting to practise,7
20030220,bushfire coronial inquiry winds up,17
20030220,bush thanks nato for support on turkey,21
20030220,call for ambos help in wake of funding changes,7
20030220,canegrowers hope for late summer rain,23
20030220,capriati hungry again in dubai,7
20030220,celts underdogs for uefa clash oneill,7
20030220,chambers vows to smash world mark,7
20030220,charvis pays penalty as humphreys earns shock,7
20030220,christmas is detention centre no go claims quashed,7
20030220,claim defence spending priority over health nt,7
20030220,claim education policy causing high indigenous,7
20030220,claim new code should protect autopsy consent,7
20030220,claim tas education policy causing high indigenous,7
20030220,college to continue work experience,7
20030220,concern act fire probe not covered by legal,17
20030220,concorde makes emergency landing in canada,7
20030220,coronial inquiry expected after hospital death,7
20030220,council chief laments job advertising decision,27
20030220,council general manager to step down,27
20030220,council to offer vandalism reporting reward,27
20030220,country racing clubs still hold tab fears,7
20030220,court to rule on longford gas compo today,7
20030220,cristal end eight match libertadores losing streak,7
20030220,cuper slams inter bad boy recoba,7
20030220,deportivo slip against buoyant swiss minnows basel,7
20030220,distance swimmer maroney calls it quits,7
20030220,dixon dismisses qantas monopoly claim,7
20030220,downer warns iraq action could begin soon,25
20030220,drought breaking rain may be months away,23
20030220,drought impact may be more far reaching,7
20030220,drought taking toll on insects,7
20030220,early childhood development to receive research,7
20030220,ellis webb well placed in ladies masters,7
20030220,employee granted restraining order against a d,7
20030220,england almost choke on burger king,7
20030220,england call up morris for first cap,7
20030220,epa to investigate radioactive spill in sa,14
20030220,esso not responsible for economic losses from gas,7
20030220,esso wins against class action for longford gas,7
20030220,etienne agrees to tyson fight,7
20030220,families confront korean president elect over,7
20030220,fans join flower olonga in anti mugabe protest,7
20030220,ferguson hails beckham in uniteds victory,7
20030220,fewer australians being jailed abs,7
20030220,fifa boss prepared to postpone matches for war,7
20030220,firefighters told to not attend tip blazes,7
20030220,fish cleaning facility plans announced,27
20030220,flight attendant action wont affect bundaberg,7
20030220,forest alliance rejects hindrance claims,7
20030220,former bank worker pleads guilty to theft charges,7
20030220,former treasurer charged with starting fire on sa,7
20030220,forum puts focus on regional needs,7
20030220,four nominate for nats charters towers preselection,7
20030220,france drop merceron gelez to face scots,1
20030220,french expedition site to be heritage protected,7
20030220,fuel price jumps in newcastle,29
20030220,fulham smash west brom with quickfire trio,7
20030220,ganguly leads india to victory,7
20030220,gartner wines to be wound up,7
20030220,gippsland firefighters remain on guard,7
20030220,govt canvassing ways to improve child development,20
20030220,govt to work with rhh after coroners suicide report,20
20030220,greenpeace calls for ban on gm canola,7
20030220,greens dump anti terror kits on howards doorstep,22
20030220,group airs truancy concerns,7
20030220,groups praise outgoing opposition agriculture,7
20030220,group to take over reef hq building,7
20030220,hagan to blood rookies against penrith,7
20030220,houllier backs owen to break rush scoring record,7
20030220,howard steps up criticism of anti war protesters,7
20030220,howard vows to stay on as pm until iraq crisis,25
20030220,hussein says iraq doesnt want war with us,25
20030220,illegal fishing hot spots identified,7
20030220,immigration raid in melbourne draws flak,7
20030220,impatience grows over water management plan,21
20030220,indy meeting likely to include rain racing talks,23
20030220,injuries threaten united finals bid,7
20030220,interest sought in building stage one of bypass,7
20030220,investigations underway into qantas skid,14
20030220,investor in planned ethanol plant laments trial,27
20030220,iran military plane crash kills 302,2
20030220,iran plane crashes with at least 250 aboard tv,2
20030220,iraqi use of human shields a war crime us,7
20030220,italy remain unchanged for ireland clash,7
20030220,kalgoorlie boulder crime rate declines,7
20030220,kayakers rescued after second day of adventure,7
20030220,kirwan sticks with winning formula for ireland,7
20030220,korean books atp date with top seed roddick,7
20030220,landholder contribution still under discussion,7
20030220,lawyers allowed to visit manus is detention centre,7
20030220,lawyers set to appeal mans sept 11 conviction,4
20030220,lawyers to review case before any esso appeal,7
20030220,lend leases posts 370 million loss,18
20030220,lethal backs nine point rule change,7
20030220,m5 airport tunnel remains closed after accident,7
20030220,macarthurs kingfisher suffers minor damage,7
20030220,man apologises for plane hijack,4
20030220,man awaits sentencing over denmark murder,4
20030220,man being questioned over qld backpacker death,4
20030220,man charged over roxby downs plane incident,4
20030220,man in hospital after stabbing attack,4
20030220,man loses defamation compo bid,4
20030220,man on murder charge refused bail,4
20030220,man to face court over alleged hijack,1
20030220,man to face court over attempted armed robbery,1
20030220,man who whacked thatcher gets 3 months jail,4
20030220,maroney calls it quits,7
20030220,medal recognises islander war efforts,7
20030220,meetings to consider glenelg river future,0
20030220,melbourne man receives massive compo payout after,4
20030220,mgladbach leave danger zone with home win,7
20030220,mine rating challenge result expected in march,7
20030220,miner exploring for nickel deposits,7
20030220,molotov cocktail suspected in melb hotel fire,7
20030220,more anti war rallies planned,27
20030220,more land for noosa national park,7
20030220,more teachers are at danger from students union,28
20030220,more than 60 detained after immigration raid,7
20030220,more women unlikely to join mens pga masters,7
20030220,mosley ready for engine compromise,7
20030220,motorists will avoid ethanol blended fuels labor,7
20030220,mud crab business on the move,7
20030220,murray meeting wouldnt detract from ministerial,0
20030220,nats seek probe bushfires probe,17
20030220,new boat takes to waterways,7
20030220,new zealand to discover kenya fate on thursday,7
20030220,no funding discussion until after nsw poll,20
20030220,no penalties for church over damaged monument,7
20030220,nsw coalition making magic pudding election,20
20030220,nt govt announces community benefit grants,20
20030220,offers roll in for classic holden,7
20030220,oil prices hit new high,29
20030220,oldfield to front court over one nation pre,7
20030220,one nation pre selection hearing continues in nsw,20
20030220,packer hands in licence as pistol investigation,22
20030220,pakistani air force chief killed in air crash,2
20030220,palaszczuk wont make disaster funds promise,7
20030220,parks move to protect high conservation areas,7
20030220,peace group denies members harassing soldiers,16
20030220,people trapped after m5 pile up,7
20030220,pilot makes emergency landing at adelaide airport,7
20030220,players continue zimbabwe protest,7
20030220,pm criticism of protesters disgraceful crean,7
20030220,pm defends criticism of anti war protesters,7
20030220,police continue probe into human remains find,3
20030220,police find second cannabis crop,3
20030220,police hope to gain an edge on weapons users,3
20030220,police locate missing family of 6 after house,3
20030220,police make arrests after drug raids,3
20030220,police seek help over pay tv piracy,3
20030220,police tax office to fight chop chop trade,3
20030220,police wont rule out link between drug plantations,3
20030220,politicians breeding publics anti troop sentiment,0
20030220,pollock denies split in proteas camp,7
20030220,population drift forces new federal boundaries,7
20030220,powell to visit asia in bid to ease nth korean,13
20030220,predictions of good wheatbelt rain,23
20030220,probe launched into fatal police pursuit,3
20030220,protesters condemn howard criticism of anti war,7
20030220,protocols were followed in immigration raids,7
20030220,public warned about snake handling dangers,6
20030220,pumping continues at richmond after flooding,18
20030220,qantas draws flak over redundancy talk,7
20030220,qantas flags job cuts despite record profit,28
20030220,qantas records 353 million profit,18
20030220,qfvg upset over retail prices,29
20030220,qld govt says new hospital on schedule,20
20030220,qld nats close to deal with libs springborg,7
20030220,racing club sneak a point in peru,7
20030220,rain boosts farmers confidence,26
20030220,rain may force aussie bowling change buchanan,23
20030220,ram raid targets newsagency,7
20030220,road funds to tackle flooding,24
20030220,ronaldo puts real back in the race,7
20030220,ruiz hat trick as guatemala rout nicaragua,7
20030220,saff to gauge feelings on planned crown lands bill,27
20030220,safin escude on rotterdam comeback trail,7
20030220,sa govt defends moves to force fine defaulters to,20
20030220,sa govt to appeal against fishing decision,20
20030220,schmeichel set to miss arsenal trip,7
20030220,school to reopen after paint fume scare,7
20030220,scotland refuse to panic,7
20030220,seaman injury crisis for arsenal,7
20030220,self cloning crayfish threatens native species,7
20030220,socceroos creep up world rankings,7
20030220,solar cars to turn heads,7
20030220,sporting task force planning begins,27
20030220,start of americas cup race four delayed,7
20030220,stone to stay on as federal liberal president,7
20030220,sun needed for good downpour,7
20030220,taipans win keeps play off dreams alive,7
20030220,tas police to question injured man about house fire,4
20030220,taxi driver to face sex trial,1
20030220,tension increases after fighter strays into sth,7
20030220,terror weapons pose minimal risk british expert,7
20030220,thousands to visit dairy field days,7
20030220,three israelis injured as hamas made rockets hit,7
20030220,tnz shuffles pack as defeat looms,7
20030220,tomasson gives milan narrow win over lokomotiv,13
20030220,tough times ahead for water allocations,21
20030220,tourism industry must be protected from iraq,25
20030220,trial hears woman denied killing fiance,8
20030220,triathletes back bris to gold coast bikeway,7
20030220,truck roll destroys furniture,7
20030220,turkey stands firm against us aid offer,7
20030220,turkey still undecided over us aid for gulf attack,7
20030220,union disunity over mccains enterprise agreement,28
20030220,un security council ends two day open debate on,27
20030220,us invited to talks with burmese military junta,7
20030220,us launches homeland security ready campaign,7
20030220,us markets remain jittery in shadow of war,7
20030220,us tells turkey time running out for aid offer,7
20030220,us to take no wto action against europe over ge,7
20030220,uzbek journalist sentenced to seven years in jail,7
20030220,verstappen pleased with new minardis track debut,7
20030220,vic govt speaks out over rice mill closure claims,20
20030220,wa fire crews battle bushfire at marangaroo,17
20030220,war talk takes toll on all ords,7
20030220,war with iraq could cost 120 billion economists,25
20030220,watkins jeered at education forum,7
20030220,wa wine destined for us,7
20030220,western power reveals power supply bid details,7
20030220,wide bay economy growing stronger,7
20030220,wine exporters urged to push ahead,7
20030220,winemakers move considered loss for tas industry,7
20030220,woman faces court over child prostitution,1
20030220,yacht loses mast in trawler incident,7
20030220,zimbabwe bars british reporter from world cup,7
20030221,accc too timid in petrol price investigations,29
20030221,action wanted to lower indigenous unemployment rate,7
20030221,aec ruling to scrap federal seat hurts us the most,7
20030221,aek shut out malaga to claim goalless draw,7
20030221,allan guilty on cash charges,7
20030221,allan unlikely to appeal fine,7
20030221,ama airs hospital reform concerns,7
20030221,ama delivers health concerns list to politicians,7
20030221,andersson atwal miss record in malaysia,7
20030221,antarctic rocks could aid global warming,7
20030221,anz confident of growth in tough environment,7
20030221,anz to pay more than 260 million to tax office,18
20030221,arab states press for war crimes condemnation of,7
20030221,at least 26 dead in us club fire,7
20030221,at least 42 injured in rhode island nightclub fire,19
20030221,aussie dollar continues its climb,7
20030221,aust could be in top four al qaeda target list,7
20030221,australia to withdraw bougainville peace monitors,16
20030221,aust share market ends week in negative territory,7
20030221,bartlett vows to block govt plans for sa nuclear,20
20030221,beattie unaware of tree clearing funds hold up,7
20030221,bedi labels murali a chucker,7
20030221,belgian police recover stolen works,3
20030221,bhp port kembla production restarts,7
20030221,big guns back to business in the premier league,7
20030221,blake paradorn upset in memphis,7
20030221,bracks backs ruling on deans 50000 a year pension,7
20030221,british govt clashes with high court over asylum,20
20030221,british pop awards will be platform for iraq,15
20030221,briton stabbed to death in bangkok,7
20030221,brothel owner acquitted of hiring underage,7
20030221,brothel owner fronts court after allegedly hiring,7
20030221,burmas suu kyi sentenced to one day jail fined,7
20030221,bushfires burn over 1m hectares,17
20030221,cairns canberra grab nbl wins,7
20030221,cairns injured in kiwi nightclub brawl,19
20030221,cairns injured in nightclub brawl report,19
20030221,call to scrap national plantation target,7
20030221,candleholders recalled as fire risk,7
20030221,carr off the hook over brogden debate pm,7
20030221,celts sink 10 man stuttgart,4
20030221,central qld park area expanded,7
20030221,centrelink to offer drought counselling,7
20030221,china to wage chemical war on chewing gum blobs,8
20030221,chirac mugabe talk on sidelines of africa summit,7
20030221,christmas island residents not aware of detention,7
20030221,claim low oil inventory causing high petrol prices,29
20030221,claims live sheep cattle exports threatening tas,7
20030221,claims more rain will boost stock prices,26
20030221,class action may cost esso 50m,18
20030221,clinton cancels trip to india,7
20030221,coalition promises to scrap anglers fee,7
20030221,committal continues into goulburn jail riot,7
20030221,costello unhappy he wasnt consulted by stone,7
20030221,council approves poultry farm,27
20030221,council awaits more rain,23
20030221,council considers indigenous caravan park plan,27
20030221,council elections planned for may,27
20030221,council rejects combined field days stand idea,27
20030221,council to change tree protection by law,27
20030221,council to fund groundwater study,27
20030221,counsel begin summing up at warnes doping hearing,6
20030221,criminal charges pending in south korea subway probe,17
20030221,crocs prove too good for bullets,7
20030221,date set for bushfires coronial inquiry,17
20030221,dean to receive lifetime parliamentary pension,7
20030221,death spells end to record marriage,7
20030221,demons thump tigers,7
20030221,deportivo cali outclass sulky river plate,7
20030221,deschamps chases old flame marseille,7
20030221,disaster funds to allow shire to complete other,7
20030221,dortmund ready to hound bayern,7
20030221,downpour closes tourist roads,24
20030221,drought impacting on roadworks,7
20030221,drought predicted to have long lasting impact,7
20030221,education dept considers rural concerns,7
20030221,family court rejects bid to invalidate transsexual,7
20030221,farmers celebrate good rain,23
20030221,fears patterson hiding bad news tas health minister,11
20030221,federal funds sought for wave studies,7
20030221,fed govt considering appeal over transsexual,20
20030221,firefighters win battle to contain beechford blaze,7
20030221,fishers to meet minister over court ruling,0
20030221,fishing group seeks action over pilchard imports,28
20030221,flight attendants action likely to affect,7
20030221,footy great gets behind indigenous rights campaign,7
20030221,former socceroos coach thomson dies,7
20030221,funeral held for cricket legend,7
20030221,funk leads elkington in california,7
20030221,gebrselassie plans world record comeback,27
20030221,g g to witness church bell hand over,22
20030221,gold coast gets us tourism assurances,7
20030221,group concerned rain brings wrong impression,23
20030221,group gets clearer understanding of farmers gm,7
20030221,guga reaches buenos aires quarters,7
20030221,health service speaks out over patient death,7
20030221,hoddle st murderer granted right to seek judicial,28
20030221,horse ride to re enact mt isa mine find,7
20030221,howard repeats zimbabwe boycott call,7
20030221,hundreds of triathletes to head for coffs,7
20030221,hungarian thief makes amends by posts,7
20030221,hyypia the hero as liverpool bounce back,7
20030221,iaea to visit iran to assess nuclear program,7
20030221,indian jailed for smuggling pakistani in suitcase,7
20030221,indian players to retrace gandhi journey,7
20030221,indonesia says australia travel warnings,6
20030221,industrial action to impact on brisbane schools,7
20030221,investigation underway into m5 pile up,14
20030221,investigator probes sa hospital staff complaints,14
20030221,jackson hits back at explosive british tv interview,7
20030221,japanese tourist drowns in gold coast surf,7
20030221,joblink issues statement over sacking,7
20030221,keegan aiming to bring arsenal down to earth,7
20030221,kenya awarded points for kiwi call off,15
20030221,kylie minogues posterior is hit of the brits,7
20030221,land council dismissed administrator appointed,27
20030221,langer named one day player of year,7
20030221,liverpool win but lazio held by krakow,7
20030221,llewellyn not impressed by patterson so show,11
20030221,longreach water restrictions to remain,21
20030221,loose cannon afridi set for pakistan against,7
20030221,lovenkrands dreaming of hampden return,7
20030221,low water sparks boat ban for lake albert,21
20030221,male dna found on body of murdered schoolgirl,7
20030221,man accused of selling bali bomb chemicals goes on,4
20030221,man appears in court charged with stuttle murder,4
20030221,man charged with stuttle murder,4
20030221,man fails to overturn conviction over 1600yo bell,4
20030221,man in hospital after receiving severe electric,4
20030221,man in hospital after stabbing,4
20030221,man jailed for fatally stabbing ex de facto,4
20030221,man jailed for life over axe murder,4
20030221,man to be re questioned over stuttle murder,4
20030221,man to face court over fatal hit and run,1
20030221,man u agreed deal with eriksson ferguson,4
20030221,man who threatened melbourne water supply bailed,4
20030221,map highlights potential river salinity problems,7
20030221,mayor angry over mural vandalism,7
20030221,mining giant calls for funding boost for native,7
20030221,montgomery enters us indoor nationals,7
20030221,more rain may delay tougher water restrictions,26
20030221,more us troops to help hunt abu sayyaf rebels,7
20030221,mp wants tank battalion rumours investigated,14
20030221,mp welcomes police station announcement,3
20030221,nardell mine closes as receiver appointed,7
20030221,nauru appeals for help to keep nations airline,7
20030221,new battle of britain looming in uefa cup,7
20030221,newcastle city notch wins stallions draw with south,7
20030221,new commercial mud crabbing restrictions planned,27
20030221,new disability respite service,7
20030221,n korea ducks nuclear talk at nam summit,7
20030221,n korea warns it wont beg for peace,6
20030221,no cost blowouts forecast for water treatment plan,21
20030221,nsw coroner clears docs over death of toddler,20
20030221,nsw graziers record heavy rainfall,20
20030221,nsw opps drug free prison plan not new amery,20
20030221,nursing home worker suspended,7
20030221,olonga sacked by his club,7
20030221,one million tickets sold for rugby world cup,18
20030221,otago open super 12 with a win,10
20030221,owners hesitant over northerlys overseas jaunt,7
20030221,pair face court over machete attack,1
20030221,palestinian killed at gaza strip crossing point,8
20030221,patterson irresponsible with no show edmond,11
20030221,patterson no show childish wa minister,11
20030221,patterson says health meeting a waste of time,11
20030221,petrol prices on the rise,29
20030221,petrol will hit 120 if war breaks out ssa,7
20030221,plan may include puckapunyal roo cull,27
20030221,planning for intersection revamp begins,27
20030221,pm accuses european countries of encouraging saddam,7
20030221,pm defends protest comments,7
20030221,pm has no choice but to stay on through iraq,25
20030221,pm praises costello over leadership patience,7
20030221,png governor general urges election unity,7
20030221,police charge man over stabbing,9
20030221,police continue investigating cannabis crops,3
20030221,police stations face uncertainty,3
20030221,powell calls on un to uphold responsibilities over,7
20030221,push likely to seek more aged care workers,28
20030221,push to extend fraser is world heritage listing,7
20030221,qantas plane makes emergency landing,7
20030221,qantas says it has no info as prime terrorist,7
20030221,qantas urged to update security in shadow of,7
20030221,qld govt rejects land acquisition claims,20
20030221,racv not surprised by petrol rationing talk,7
20030221,rail firm to assess workers needs,7
20030221,rain brings stock losses,23
20030221,rain causes chaos on melbourne roads,23
20030221,rain expected to continue across act,23
20030221,rainfall likely to clear on weekend,7
20030221,rain in nsw a welcome relief but drought not over,23
20030221,rain not enough to be drought breaking,23
20030221,rain offers water supply boost,26
20030221,rejuvenated tyson cured by cash injection,7
20030221,residents get fire assurances,7
20030221,retail sector airs trading hours review concerns,7
20030221,romario jeered teams brawl as fluminense held,7
20030221,round the world in no forget it,7
20030221,ruddock commends australias traveller controls,7
20030221,salinity experts map water catchments,21
20030221,sa nt to lose seats in federal parliament,7
20030221,sas soldier charged with misconduct while in e,7
20030221,schumacher seeks more speed from less noise,28
20030221,seaman set for ajax match,7
20030221,search for better life pays off,7
20030221,second us nightclub fire kills 10,8
20030221,senators offer input into coast issues,7
20030221,several dead in fire at rhode island nightclub,19
20030221,shire says planning policy not compromised,27
20030221,slapping paedophile to have arm amputated,7
20030221,state territory health ministers arrive for meeting,0
20030221,stolen wage report looks to improve indigenous,7
20030221,strike expected to mean milk shortages,7
20030221,strike may disrupt nsw milk supply,20
20030221,study considers alternative crops for sugar regions,7
20030221,study to probe snowy motorcycle crashes,2
20030221,teachers shortage set to get worse report,7
20030221,team mates send best wishes to warne,6
20030221,telstra chief embarrassed with 1 billion writedown,7
20030221,telstra punished after massive hong kong write down,7
20030221,telstra still hurting from hk joint venture,7
20030221,thieves target esperance cars,7
20030221,timor sea treaty will be ratfied shortly martin,7
20030221,troubled torino praying for a miracle,7
20030221,tuckey laments gungahlin drive planning problems,27
20030221,turkey delays vote on us troops,7
20030221,turkey digs heels in us lobbies for support for,21
20030221,turkey forces us to weigh up strategies,7
20030221,union condemns qantass contract labour plan,27
20030221,us asks indonesia to improve human rights record,7
20030221,us boost troop numbers in philippines,7
20030221,us chiropractor to address gold coast gathering,7
20030221,us intelligence analyst found guilty of spying,7
20030221,usq researchers prepare for move,7
20030221,valencia sense victory in benitez vs benitez,7
20030221,vic govt gets farmers drought update,20
20030221,victorian farmers hope rain will break drought,23
20030221,victoria welcomes rain relief,23
20030221,vinnicombe rejects mps freeway claims,7
20030221,waratahs go down in super 12 opener,10
20030221,war impact on exercise unknown,7
20030221,warne decision to be made saturday,6
20030221,warne dope hearing underway,6
20030221,williams and mclaren plan to take fia to court,27
